17     7001  7000  117.101.229.86   120.105.31.23	3608277.515
17     7001  7000  124.158.63.140   120.105.31.26	2211175.365
17     7001  7000  124.158.63.140   120.105.31.28	1498376.597
17     3009 10001  50.244.214.190    48.114.97.19	1193998.106
17     3007 10001  50.244.214.190  131.81.105.239	1193996.116
17     7001  7000 117.101.228.230  49.219.221.197	845268.222
103       0     0c180:ff..76:c979fd:ff00..ff:ff12	706379.732
103       0     0   193.212.96.69     0.28.31.130	197492.598
103       0     0  193.212.97.191     0.28.31.130	183620.422
6     59694 18000   51.243.44.247  117.182.230.83	154496.853
6     49562    22  153.12.129.140    109.71.31.18	141299.822
6        22 49554    109.71.31.18  153.12.129.140	141298.482
6     44080  4282   51.244.218.49  94.215.214.243	117772.798
6       873 44814   99.204.139.37   100.67.63.238	89879.262
17      443 35509  131.172.156.78  119.142.113.66	71039.566
17    59091   443  115.157.228.92   82.186.210.16	57659.706
17      443 59091   82.186.210.16  115.157.228.92	57659.119
6      1095 46350  117.22.153.158    118.80.32.14	55854.232
6     31305    22 110.177.249.176    51.57.37.243	52439.633
6        80 47100  116.158.174.45   117.216.211.4	49317.559
6       443 50246  243.217.224.21  51.237.250.179	42418.936
6     15749 52819    51.57.63.222   57.249.126.89	36898.265
17    22003 53727   90.228.175.91     51.1.24.155	36412.913
6     40551    22    95.253.2.103  118.161.154.63	33657.764
6     60853   443  51.171.251.225  219.170.11.140	29339.769
6     33550 39252   109.71.12.149   119.94.170.34	28793.813
6      1326   443   51.171.251.37  219.170.11.186	27413.506
6     50623   443   51.171.231.55  219.170.10.153	27059.855
6     10059   443  51.171.179.151  219.170.11.183	26026.548
6     31098 57422   124.224.80.86     109.71.1.61	24299.766
6        80 57314  87.163.184.116     120.3.4.215	23937.564
6     21591 50512  119.94.169.211   51.141.180.57	23330.938
6     45250  1094    51.40.150.96  116.130.236.69	21591.168
6     47028  1094   51.40.150.109  116.130.236.82	20395.973
6        80 58089 105.128.251.169   51.134.30.204	19859.386
6     56426  1094    51.40.150.97  116.130.236.78	19739.364
6     55626 20932  113.111.82.116  51.109.151.129	19314.311
6        22 65107 120.212.184.217   120.1.227.187	18419.573
6     20395 50312     50.108.88.7   119.94.170.94	16798.19
6     64316   443  51.171.250.211  219.170.10.154	16430.609
6     49590  1094    51.40.150.96  116.130.236.69	16199.513
6     51408  1094   51.40.150.109  116.130.236.82	16136.56
6     47960 20257  51.109.151.204  120.74.196.116	15959.823
6     20257 47960  120.74.196.116  51.109.151.204	15956.991
6     34083 24305 117.151.112.233  124.221.63.225	15899.787
6     37089 24305 117.151.112.233  124.221.63.225	15899.188
6     32897 24305 117.151.112.233  124.221.63.225	15899.028
6     51254 24305 117.151.112.233  124.221.63.225	15898.648
6        22 47258   50.45.235.229 118.201.123.253	15359.902
6     23135 60032   119.94.253.70   113.205.3.108	15291.048
6     33632  1094   51.40.150.119  116.130.236.93	15239.213
6     38878  1935  48.174.253.169  175.36.118.158	15117.097
6     31220 35030  119.94.168.240  51.141.180.251	14935.358
6       443 60348  107.160.140.29     58.33.96.16	14759.986
6     49960  1094    51.40.150.99 116.130.236.116	14696.416
6      1094 41762  116.130.236.78  51.141.180.251	14212.667
17    33001 43510    51.57.62.128  116.78.149.155	14035.121
