  109.657,6    ,     4,   232.136.61.74,  97.214.141.190,   443, 51383,     62.40.98.70,     62.40.96.12,     62.40.97.15,  2906,   766,   731,   767,     300,   12000
  596.802,6    ,     4,  104.160.119.15,    51.57.63.222, 63300, 52912,     62.40.98.88,   62.40.124.198,     62.40.97.15,   137,   786,   687,   796,    1500,   78000
    0.000,6    ,     4,  165.98.224.226, 120.105.156.151, 51370,  8083,     62.40.98.88,   62.40.124.158,     62.40.97.15,   137,   513,   687,   796,     300,  450000
    0.000,17   ,     4,   186.5.191.157,    50.107.52.65,    53,  1225,    83.97.88.222,    83.97.88.222,     62.40.97.15,  1299,   137,   731,   770,     300,   40800
    0.000,6    ,     4, 168.179.147.204,  48.195.220.112,   443, 42247,     62.40.98.88,     62.40.97.14,     62.40.97.15, 10310,   559,   731,   796,     300,  450000
    0.000,6    ,     4, 224.237.181.241,    51.204.42.58,  5222, 49069,    83.97.88.170,    83.97.88.170,     62.40.97.15, 32934, 12046,   731,   774,     300,   15600
   64.990,6    ,     4,  165.98.253.151,  179.47.227.116, 49164,   443,   217.29.66.153,   217.29.66.153,     62.40.97.15,   137, 15133,   770,   731,     300,  124500
    0.000,6    ,     4,   119.41.12.251,  185.230.211.68, 15844,   443,     62.40.98.88,     62.40.97.12,     62.40.97.15,   137, 10310,   770,   796,     300,  450000
    0.000,6    ,     4,   119.41.12.251,  185.230.211.68, 34650,   443,     62.40.98.88,     62.40.97.12,     62.40.97.15,   137, 10310,   770,   796,     300,  450000
    0.000,6    ,     4,   203.72.83.221, 107.133.153.242,   443, 58647,     62.40.98.38,      62.40.97.1,     62.40.97.15,  8075,  8517,   731,   639,     300,  119100
    0.000,6    ,     4,  51.142.252.203,   174.216.48.35, 41410, 21435,     62.40.98.88,     62.40.97.12,     62.40.97.15,   137, 12322,   770,   796,     300,  450000
  419.785,6    ,     4,   232.136.61.81,  51.237.140.176,   443, 23869,     62.40.98.70,     62.40.96.12,     62.40.97.15,  2906,   766,   731,   767,    1500, 2250000
    0.310,6    ,     4, 245.254.254.172,   50.84.248.230,    80, 46815,     62.40.98.88,     62.40.97.14,     62.40.97.15, 20940,   513,   731,   796,    1800, 2338800
   96.088,6    ,     4,   232.136.61.75,    95.186.64.48,   443,  6387,     62.40.98.70,     62.40.96.12,     62.40.97.15,  2906,   766,   731,   767,     900, 1350000
   30.020,6    ,     4,   51.142.101.45,  127.148.15.209, 63173,   443,    217.29.67.16,    217.29.67.16,     62.40.97.15,   137, 16509,   770,   731,     900,   36000
  939.968,6    ,     7,2081:eb..50:ffdf,dffe:94..:ff00:7, 33534, 20117,::ffff:..0.98.16,              ::,     62.40.96.10,   174,  2603,   724,   671,    3900,  284400
    0.348,6    ,     7,     43.84.23.15,    63.46.50.119,   443, 22096,     62.40.98.16,      62.40.97.7,     62.40.96.10,  2107,  8075,   698,   671,     600,  852000
